x,y
280,-21
281,-21
282,-21
283,-21
284,-21
285,-21
286,-21
277,-22
278,-22
279,-22
286,-22
276,-23
277,-23
287,-23
275,-24
276,-24
287,-24
274,-25
275,-25
288,-25
274,-26
288,-26
296,-26
297,-26
298,-26
299,-26
300,-26
301,-26
302,-26
303,-26
274,-27
289,-27
295,-27
296,-27
304,-27
305,-27
273,-28
289,-28
294,-28
295,-28
305,-28
272,-29
289,-29
293,-29
294,-29
305,-29
272,-30
290,-30
292,-30
293,-30
306,-30
271,-31
289,-31
292,-31
306,-31
315,-31
271,-32
289,-32
291,-32
306,-32
313,-32
314,-32
316,-32
317,-32
318,-32
319,-32
270,-33
271,-33
306,-33
311,-33
312,-33
320,-33
269,-34
270,-34
308,-34
310,-34
321,-34
269,-35
307,-35
309,-35
321,-35
322,-35
268,-36
307,-36
309,-36
320,-36
322,-36
331,-36
332,-36
333,-36
334,-36
335,-36
336,-36
268,-37
320,-37
323,-37
330,-37
331,-37
337,-37
338,-37
268,-38
320,-38
323,-38
329,-38
338,-38
339,-38
268,-39
319,-39
320,-39
324,-39
328,-39
339,-39
267,-40
318,-40
319,-40
324,-40
327,-40
328,-40
340,-40
267,-41
317,-41
318,-41
325,-41
327,-41
340,-41
266,-42
317,-42
325,-42
326,-42
340,-42
266,-43
317,-43
340,-43
266,-44
317,-44
340,-44
266,-45
316,-45
317,-45
340,-45
265,-46
277,-46
316,-46
340,-46
341,-46
342,-46
343,-46
344,-46
345,-46
346,-46
347,-46
348,-46
349,-46
350,-46
351,-46
352,-46
265,-47
276,-47
277,-47
315,-47
316,-47
348,-47
353,-47
354,-47
265,-48
276,-48
314,-48
315,-48
347,-48
348,-48
354,-48
355,-48
264,-49
265,-49
275,-49
276,-49
314,-49
347,-49
355,-49
264,-50
274,-50
275,-50
314,-50
346,-50
347,-50
356,-50
264,-51
274,-51
313,-51
346,-51
356,-51
357,-51
264,-52
273,-52
274,-52
313,-52
346,-52
357,-52
264,-53
273,-53
312,-53
313,-53
345,-53
346,-53
357,-53
358,-53
366,-53
263,-54
272,-54
273,-54
312,-54
345,-54
356,-54
359,-54
360,-54
361,-54
362,-54
363,-54
364,-54
365,-54
367,-54
368,-54
263,-55
272,-55
311,-55
312,-55
345,-55
355,-55
356,-55
369,-55
370,-55
371,-55
263,-56
272,-56
311,-56
344,-56
355,-56
371,-56
372,-56
263,-57
271,-57
310,-57
311,-57
344,-57
355,-57
370,-57
372,-57
262,-58
271,-58
310,-58
343,-58
344,-58
354,-58
370,-58
372,-58
262,-59
270,-59
309,-59
343,-59
354,-59
369,-59
370,-59
373,-59
261,-60
270,-60
309,-60
342,-60
353,-60
354,-60
369,-60
373,-60
261,-61
269,-61
308,-61
342,-61
353,-61
368,-61
373,-61
261,-62
268,-62
269,-62
308,-62
342,-62
352,-62
353,-62
368,-62
373,-62
260,-63
268,-63
307,-63
308,-63
342,-63
352,-63
367,-63
373,-63
261,-64
267,-64
268,-64
306,-64
307,-64
341,-64
342,-64
351,-64
366,-64
367,-64
373,-64
261,-65
267,-65
306,-65
341,-65
351,-65
366,-65
374,-65
379,-65
380,-65
381,-65
382,-65
260,-66
267,-66
305,-66
306,-66
340,-66
351,-66
375,-66
376,-66
377,-66
378,-66
382,-66
383,-66
260,-67
266,-67
305,-67
384,-67
385,-67
260,-68
266,-68
305,-68
385,-68
260,-69
265,-69
304,-69
305,-69
385,-69
259,-70
265,-70
304,-70
385,-70
387,-70
259,-71
265,-71
303,-71
304,-71
386,-71
258,-72
264,-72
303,-72
386,-72
259,-73
260,-73
261,-73
262,-73
263,-73
264,-73
302,-73
387,-73
241,-74
242,-74
243,-74
244,-74
245,-74
246,-74
247,-74
258,-74
264,-74
265,-74
302,-74
387,-74
237,-75
238,-75
239,-75
240,-75
248,-75
249,-75
250,-75
255,-75
256,-75
257,-75
266,-75
267,-75
268,-75
301,-75
387,-75
236,-76
237,-76
250,-76
251,-76
253,-76
254,-76
268,-76
269,-76
301,-76
387,-76
235,-77
236,-77
252,-77
269,-77
270,-77
301,-77
387,-77
235,-78
270,-78
271,-78
300,-78
301,-78
387,-78
234,-79
271,-79
300,-79
370,-79
387,-79
233,-80
234,-80
271,-80
272,-80
299,-80
300,-80
369,-80
386,-80
232,-81
233,-81
272,-81
273,-81
298,-81
299,-81
369,-81
386,-81
231,-82
232,-82
273,-82
298,-82
368,-82
385,-82
231,-83
273,-83
298,-83
367,-83
368,-83
385,-83
230,-84
274,-84
297,-84
333,-84
367,-84
385,-84
221,-85
222,-85
223,-85
224,-85
225,-85
226,-85
227,-85
228,-85
229,-85
274,-85
296,-85
297,-85
332,-85
333,-85
366,-85
367,-85
384,-85
215,-86
216,-86
217,-86
218,-86
219,-86
220,-86
274,-86
296,-86
332,-86
366,-86
383,-86
384,-86
213,-87
214,-87
274,-87
296,-87
332,-87
365,-87
366,-87
383,-87
212,-88
213,-88
274,-88
296,-88
332,-88
342,-88
364,-88
365,-88
382,-88
210,-89
211,-89
274,-89
275,-89
331,-89
342,-89
364,-89
381,-89
382,-89
208,-90
209,-90
275,-90
276,-90
277,-90
291,-90
292,-90
293,-90
294,-90
295,-90
296,-90
297,-90
330,-90
331,-90
341,-90
363,-90
380,-90
381,-90
207,-91
208,-91
278,-91
279,-91
287,-91
288,-91
289,-91
290,-91
297,-91
298,-91
299,-91
330,-91
341,-91
362,-91
363,-91
379,-91
380,-91
207,-92
279,-92
280,-92
286,-92
287,-92
299,-92
300,-92
330,-92
340,-92
341,-92
362,-92
379,-92
206,-93
280,-93
281,-93
285,-93
286,-93
300,-93
301,-93
302,-93
